PRIMARY_STREET,CROSS_STREET,CITY_COUNTY,STATIONID,AGENCY,NOTES,TDOT_ID,STATUS,PREVIOUS_STATION,Longitude,Latitude,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Lovell Rd,NE of Thompson Rd,Knox,47000085,TDOT,,93000085,ACTIVE,,-84.13077194,35.94574385,7320,7840,8590,8733,8778,9137,11341,11748,10914,11854,11615,10294,11685,12944,11970,12325,12565,13964,15371,14076,15485,13731,15927,15462
Ball Camp Byington Rd,N of Hardin Valley Rd,Knox,47000086,TDOT,,93000086,ACTIVE,,-84.12592594,35.95769785,9028,7492,8362,9638,9645,10063,10283,10496,9669,10274,9507,8768,10221,11172,11717,11201,11248,9630,9726,9606,9009,8847,9297,8927
I-40,W of Asheville Hwy,Knox,47000176,TDOT,,93000176,ACTIVE,,-83.84714751,36.01210626,101318,106378,106102,102748,101081,97418,102306,97214,98566,98877,118511,111421,99058,104813,114588,95835,101932,98613,106906,104665,106366,96040,102519,110907
Henderson Ln,At Anderson Co Line,Knox,47000178,TDOT,,93000178,ACTIVE,,-84.13374294,35.99406486,865,894,914,1020,1155,1256,1132,1007,969,972,1039,1082,1010,1079,1058,990,914,951,961,977,1129,1079,1152,1163
Maynardville Pk,S of Rifle Range Dr,Knox,553,TDOT,This counter was given a local ID of 553 in 2020.,553,ACTIVE,,-83.92393876,36.05634022,,,,,,,,,,,,34422,32600,32673,35577,36644,35420,34053,35220,33769,33912,29352,32338,32105
I-40,E. of I-275,Knox,47000460,TDOT,"Moved to just south of HOF bridge in 2021, per MC finding the counter in Streetview",93000460,ACTIVE,,-83.91836288,35.97889887,,,,,,,,,,,,63208,71072,71813,73716,71301,83724,72400,79200,97840,87021,80617,89950,90524
Murphy Rd,N of Washington Pk,Knox,47000462,TDOT,,93000462,ACTIVE,093M374,-83.87580187,36.05338488,,,,,,,,,,,,10443,9843,10453,10363,10752,11436,11935,12323,11545,12141,11040,11703,11952
Cunningham Rd,W of Maynardville Pk,Knox,47000463,TDOT,,93000463,ACTIVE,,-83.93692189,36.07272089,,,,,,,,,,,,7995,7383,8321,8660,7695,8218,9146,9676,8709,8659,8193,8808,8958
Murdock Dr,E of Dutchtown Rd,Knox,47000464,TDOT,,93000464,ACTIVE,093M357,-84.13995594,35.91870385,,,,,,,,,,,,6681,6337,5855,6574,6119,6775,7147,6861,6476,6555,5973,5524,5586
Andes Rd,Between Ball Camp Pk and Cureton Rd,Knox,47000465,TDOT,,93000465,ACTIVE,093M363,-84.09991993,35.95914486,,,,,,,,,,,,3999,3875,4282,4031,4287,4238,4210,4440,3684,4053,4128,4917,4086
